timestamp,action,hours_open,x_exchange,y_exchange,x_price,y_price,x_funding_rate,y_funding_rate,receiver,x_is_long,y_is_long,exit_reason,reason
2025-11-19 07:28:20.049433,hold,,hyperliquid,lighter,38.561,38.5248,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-19 07:29:20.049689,hold,,hyperliquid,lighter,38.547,38.5244,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-19 07:30:20.049965,hold,,hyperliquid,lighter,38.55,38.4623,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-19 07:31:20.050211,hold,,hyperliquid,lighter,38.491,38.4469,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-19 07:32:20.050498,hold,,hyperliquid,lighter,38.465,38.5004,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-19 07:33:20.050717,hold,,hyperliquid,lighter,38.508,38.6351,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-19 07:34:20.050978,hold,,hyperliquid,lighter,38.644,38.5797,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-19 07:35:20.051247,hold,,hyperliquid,lighter,38.598,38.5198,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-19 07:36:20.051508,hold,,hyperliquid,lighter,38.54,38.4963,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-19 07:37:20.051743,hold,,hyperliquid,lighter,38.514,38.5963,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-19 07:38:20.051964,hold,,hyperliquid,lighter,38.607,38.6037,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-19 07:39:20.052246,hold,,hyperliquid,lighter,38.607,38.6074,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-19 07:40:20.052512,hold,,hyperliquid,lighter,38.636,38.5523,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-19 07:41:20.052763,hold,,hyperliquid,lighter,38.568,38.576,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-19 07:42:20.053002,hold,,hyperliquid,lighter,38.59,38.5475,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-19 07:43:20.053229,hold,,hyperliquid,lighter,38.576,38.6331,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-19 07:44:20.053495,hold,,hyperliquid,lighter,38.65,38.6421,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-19 07:45:20.053728,hold,,hyperliquid,lighter,38.652,38.6433,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-19 07:46:20.054015,hold,,hyperliquid,lighter,38.632,38.6962,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-19 07:47:20.054268,hold,,hyperliquid,lighter,38.697,38.6923,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-19 07:48:20.054507,hold,,hyperliquid,lighter,38.699,38.6548,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-19 07:49:20.054798,hold,,hyperliquid,lighter,38.662,38.6707,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-19 07:50:20.055075,hold,,hyperliquid,lighter,38.68,38.6625,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-19 07:51:20.055324,hold,,hyperliquid,lighter,38.675,38.7316,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-19 07:52:20.055551,hold,,hyperliquid,lighter,38.725,38.6901,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-19 07:53:20.055790,hold,,hyperliquid,lighter,38.693,38.6629,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-19 07:54:20.056036,hold,,hyperliquid,lighter,38.676,38.6215,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-19 07:55:20.056317,hold,,hyperliquid,lighter,38.63,38.5904,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-19 07:56:20.056519,hold,,hyperliquid,lighter,38.61,38.5836,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
