timestamp,hyperliquid_funding_rate,lighter_funding_rate
2025-11-08 16:30:38.351411+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 16:31:38.351680+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 16:32:38.351971+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 16:33:38.352247+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 16:34:38.352526+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 16:35:38.352789+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 16:36:38.353038+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 16:37:38.353334+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 16:38:38.353542+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 16:39:38.353791+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 16:40:38.354038+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 16:41:38.354302+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 16:42:38.354548+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 16:43:38.354793+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 16:44:38.355064+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 16:45:38.355317+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 16:46:38.355592+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 16:47:38.355816+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 16:48:38.356043+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 16:49:38.356324+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 16:50:38.356564+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 16:51:38.357038+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 16:52:38.357268+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 16:53:38.357522+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 16:54:38.357762+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 16:55:38.357994+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 16:56:38.358232+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 16:57:38.358487+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 16:58:38.358731+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 16:59:38.358976+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:00:38.359209+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:01:38.359451+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:02:38.359705+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:03:38.359985+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:04:38.360258+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:05:38.360498+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:06:38.360688+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:07:38.360972+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:08:38.361226+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:09:38.361491+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:10:38.361720+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:11:38.361975+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:12:38.362236+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:13:38.362477+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:14:38.362730+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:15:38.362974+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:16:38.363219+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:17:38.363448+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:18:38.363689+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:19:38.363969+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:20:38.364206+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:21:38.364459+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:22:38.364655+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:23:38.364950+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:24:38.365144+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:25:38.365407+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:26:38.365602+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:27:38.365856+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:28:38.366090+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:29:38.366331+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:30:38.366593+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:31:38.366845+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:32:38.367023+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:33:38.367262+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:34:38.367542+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:35:38.367791+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:36:38.368085+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:37:38.368305+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:38:38.368590+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:39:38.368828+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:40:38.369101+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:41:38.369350+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:42:38.369602+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:43:38.369834+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:44:38.370088+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:45:38.370340+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:46:38.370593+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:47:38.370843+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:48:38.371085+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:49:38.371320+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:50:38.371599+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:51:38.371829+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:52:38.372015+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:53:38.372192+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:54:38.372442+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:55:38.372688+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:56:38.372955+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:57:38.373199+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:58:38.373435+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 17:59:38.373670+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:00:38.373942+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:01:38.374103+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:02:38.374330+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:03:38.374566+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:04:38.374799+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:05:38.375028+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:06:38.375261+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:07:38.375501+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:08:38.375738+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:09:38.375964+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:10:38.376219+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:11:38.376461+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:12:38.376734+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:13:38.377009+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:14:38.377208+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:15:38.377396+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:16:38.377644+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:17:38.377893+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:18:38.378089+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:19:38.378338+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:20:38.378609+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:21:38.378775+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:22:38.379014+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:23:38.379239+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:24:38.379476+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:25:38.379731+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:26:38.380016+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:27:38.380207+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:28:38.380440+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:29:38.380699+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:30:38.380966+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:31:38.381205+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:32:38.381440+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:33:38.381615+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:34:38.381849+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:35:38.382085+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:36:38.382285+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:37:38.382457+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:38:38.382671+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:39:38.382847+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:40:38.383107+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:41:38.383331+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:42:38.383552+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:43:38.383789+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:44:38.384040+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:45:38.384281+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:46:38.384485+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:47:38.384708+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:48:38.384961+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:49:38.385199+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:50:38.385425+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:51:38.385668+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:52:38.385935+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:53:38.386161+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:54:38.386398+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:55:38.386572+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:56:38.386806+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:57:38.386995+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:58:38.387221+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 18:59:38.387415+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 19:00:38.387660+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 19:01:38.387946+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 19:02:38.388122+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 19:03:38.388301+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 19:04:38.388541+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 19:05:38.388792+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 19:06:38.389010+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 19:07:38.389234+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 19:08:38.389478+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 19:09:38.389725+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 19:10:38.389977+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 19:11:38.390153+00:00,1.25e-05,1.1999999999999999e-05
2025-11-08 19:12:38.390361+00:00,1.25e-05,1.1999999999999999e-05
