timestamp,hyperliquid_funding_rate,lighter_funding_rate
2025-11-08 16:30:38.218373,1.25e-05,0.0012
2025-11-08 16:31:38.218659,1.25e-05,0.0012
2025-11-08 16:32:38.218959,1.25e-05,0.0012
2025-11-08 16:33:38.219234,1.25e-05,0.0012
2025-11-08 16:34:38.219526,1.25e-05,0.0012
2025-11-08 16:35:38.219785,1.25e-05,0.0012
2025-11-08 16:36:38.220056,1.25e-05,0.0012
2025-11-08 16:37:38.220319,1.25e-05,0.0012
2025-11-08 16:38:38.220576,1.25e-05,0.0012
2025-11-08 16:39:38.220838,1.25e-05,0.0012
2025-11-08 16:40:38.221087,1.25e-05,0.0012
2025-11-08 16:41:38.221354,1.25e-05,0.0012
2025-11-08 16:42:38.221635,1.25e-05,0.0012
2025-11-08 16:43:38.221916,1.25e-05,0.0012
2025-11-08 16:44:38.222204,1.25e-05,0.0012
2025-11-08 16:45:38.222462,1.25e-05,0.0012
2025-11-08 16:46:38.222736,1.25e-05,0.0012
2025-11-08 16:47:38.222947,1.25e-05,0.0012
2025-11-08 16:48:38.223187,1.25e-05,0.0012
2025-11-08 16:49:38.223444,1.25e-05,0.0012
2025-11-08 16:50:38.223695,1.25e-05,0.0012
2025-11-08 16:51:38.224176,1.25e-05,0.0012
2025-11-08 16:52:38.224439,1.25e-05,0.0012
2025-11-08 16:53:38.224704,1.25e-05,-0.0014
2025-11-08 16:54:38.224954,1.25e-05,-0.0014
2025-11-08 16:55:38.225206,1.25e-05,-0.0014
2025-11-08 16:56:38.225461,1.25e-05,-0.0014
2025-11-08 16:57:38.225704,1.25e-05,-0.0014
2025-11-08 16:58:38.225959,1.25e-05,-0.0014
2025-11-08 16:59:38.226253,1.25e-05,-0.0014
2025-11-08 17:00:38.226490,1.25e-05,-0.0014
2025-11-08 17:01:38.226736,1.25e-05,-0.0014
2025-11-08 17:02:38.226997,1.25e-05,-0.0014
2025-11-08 17:03:38.227256,1.25e-05,-0.0014
2025-11-08 17:04:38.227514,1.25e-05,-0.0014
2025-11-08 17:05:38.227758,1.25e-05,-0.0014
2025-11-08 17:06:38.227987,1.25e-05,-0.0014
2025-11-08 17:07:38.228248,1.25e-05,-0.0014
2025-11-08 17:08:38.228567,1.25e-05,-0.0014
2025-11-08 17:09:38.228798,1.25e-05,-0.0014
2025-11-08 17:10:38.229055,1.25e-05,-0.0014
2025-11-08 17:11:38.229308,1.25e-05,-0.0014
2025-11-08 17:12:38.229571,1.25e-05,-0.0014
2025-11-08 17:13:38.229937,1.25e-05,-0.0014
2025-11-08 17:14:38.230173,1.25e-05,-0.0014
2025-11-08 17:15:38.230449,1.25e-05,-0.0014
