fetch_ts_datetime,fetch_ts_ms,meta.instrument.base_currency,meta.instrument.block_trade_commission,meta.instrument.block_trade_min_trade_amount,meta.instrument.block_trade_tick_size,meta.instrument.contract_size,meta.instrument.counter_currency,meta.instrument.creation_timestamp,meta.instrument.creation_timestamp_datetime,meta.instrument.expiration_timestamp,meta.instrument.expiration_timestamp_datetime,meta.instrument.instrument_id,meta.instrument.instrument_name,meta.instrument.instrument_type,meta.instrument.is_active,meta.instrument.kind,meta.instrument.maker_commission,meta.instrument.min_trade_amount,meta.instrument.option_type,meta.instrument.price_index,meta.instrument.quote_currency,meta.instrument.settlement_currency,meta.instrument.settlement_period,meta.instrument.strike,meta.instrument.taker_commission,meta.instrument.tick_size,meta.instrument.tick_size_steps,parsed.base_currency,parsed.expiry_code,parsed.instrument_name,parsed.option_type,parsed.strike,rpc.jsonrpc,rpc.result.ask_iv,rpc.result.asks,rpc.result.best_ask_amount,rpc.result.best_ask_price,rpc.result.best_bid_amount,rpc.result.best_bid_price,rpc.result.bid_iv,rpc.result.bids,rpc.result.change_id,rpc.result.estimated_delivery_price,rpc.result.greeks.delta,rpc.result.greeks.gamma,rpc.result.greeks.rho,rpc.result.greeks.theta,rpc.result.greeks.vega,rpc.result.index_price,rpc.result.instrument_name,rpc.result.interest_rate,rpc.result.last_price,rpc.result.mark_iv,rpc.result.mark_price,rpc.result.max_price,rpc.result.min_price,rpc.result.open_interest,rpc.result.settlement_price,rpc.result.state,rpc.result.stats.high,rpc.result.stats.low,rpc.result.stats.price_change,rpc.result.stats.volume,rpc.result.stats.volume_usd,rpc.result.timestamp,rpc.result.timestamp_datetime,rpc.result.underlying_index,rpc.result.underlying_price,rpc.testnet,rpc.usDiff,rpc.usIn,rpc.usOut
2025-12-01T05:55:45.792000+00:00,1764568545792,BTC,0.0003,25,0.0001,1.0,USD,1764249660000,2025-11-27T13:21:00+00:00,1764576000000,2025-12-01T08:00:00+00:00,556942,BTC-1DEC25-87000-C,reversed,True,option,0.0003,0.1,call,btc_usd,BTC,BTC,day,87000.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",BTC,1DEC25,BTC-1DEC25-87000-C,C,87000.0,2.0,69.4,"[[0.0007,29.4],[0.0008,27.5],[0.0009,7.1],[0.001,8.6],[0.0011,18.7],[0.0012,8.9],[0.0013,77.4],[0.0015,0.1],[0.0016,8.0],[0.0017,25.0],[0.0018,25.0],[0.0023,7.0],[0.004,1.2],[0.0048,0.1],[0.0049,0.1],[0.01,0.5]]",29.4,0.0007,8.0,0.0004,59.21,"[[0.0004,8.0],[0.0003,32.4],[0.0002,33.8],[0.0001,43.7]]",129837617264,85962.47,0.11233,0.00023,0.02267,-45.88775,2.52026,85962.47,BTC-1DEC25-87000-C,0.0,0.0005,64.05,0.0005,0.0305,0.0001,44.4,0.04427175,open,0.0125,0.0004,-95.0,63.2,39549.04,1764568545463,2025-12-01T05:55:45.463000+00:00,SYN.BTC-1DEC25,85962.6854,False,272,1764568545940954,1764568545941226
2025-12-01T05:55:45.798000+00:00,1764568545798,BTC,0.0003,25,0.0001,1.0,USD,1764249660000,2025-11-27T13:21:00+00:00,1764576000000,2025-12-01T08:00:00+00:00,556943,BTC-1DEC25-87000-P,reversed,True,option,0.0003,0.1,put,btc_usd,BTC,BTC,day,87000.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",BTC,1DEC25,BTC-1DEC25-87000-P,P,87000.0,2.0,100.27,"[[0.014,4.1],[0.0145,29.3],[0.021,1.0],[0.0225,3.0],[0.024,1.0],[0.031,6.8],[0.0315,9.8],[0.105,3.1],[0.1165,3.2],[0.128,3.2],[0.14,3.2]]",4.1,0.014,1.8,0.012,0.0,"[[0.012,1.8],[0.0115,29.4],[0.011,8.0],[0.0095,9.8],[0.009,9.7],[0.0055,2.0],[0.0012,2.5],[0.0002,5.0]]",129837611055,85962.47,-0.88767,0.00023,-0.18258,-80.71671,2.52026,85962.47,BTC-1DEC25-87000-P,0.0,0.0155,64.05,0.0126,0.0545,0.0001,181.9,0.00029879,open,0.0155,0.0001,5066.6667,231.4,123413.4,1764568544983,2025-12-01T05:55:44.983000+00:00,SYN.BTC-1DEC25,85962.6854,False,312,1764568545948921,1764568545949233
2025-12-01T05:55:45.803000+00:00,1764568545803,BTC,0.0003,25,0.0001,1.0,USD,1764230412000,2025-11-27T08:00:12+00:00,1764576000000,2025-12-01T08:00:00+00:00,556130,BTC-1DEC25-88000-C,reversed,True,option,0.0003,0.1,call,btc_usd,BTC,BTC,day,88000.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",BTC,1DEC25,BTC-1DEC25-88000-C,C,88000.0,2.0,76.17,"[[0.0001,1.0],[0.0002,38.7],[0.0003,36.9],[0.0004,0.9],[0.0005,108.5],[0.0006,25.2],[0.0007,0.1],[0.0021,7.0],[0.03,0.2]]",1.0,0.0001,0.0,0.0,0.0,[],129837616239,85962.47,0.01747,5e-05,0.00353,-5.98053,0.56967,85962.47,BTC-1DEC25-88000-C,0.0,0.0001,72.11,0.0001,0.0235,0.0001,24.4,0.03338528,open,0.0085,0.0001,-98.8235,30.3,5495.49,1764568544820,2025-12-01T05:55:44.820000+00:00,SYN.BTC-1DEC25,85962.8182,False,248,1764568545951881,1764568545952129
2025-12-01T05:55:45.830000+00:00,1764568545830,BTC,0.0003,25,0.0001,1.0,USD,1764230412000,2025-11-27T08:00:12+00:00,1764576000000,2025-12-01T08:00:00+00:00,556131,BTC-1DEC25-88000-P,reversed,True,option,0.0003,0.1,put,btc_usd,BTC,BTC,day,88000.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",BTC,1DEC25,BTC-1DEC25-88000-P,P,88000.0,2.0,133.24,"[[0.025,0.1],[0.0255,28.1],[0.0285,0.5],[0.029,0.5],[0.0295,1.0],[0.03,1.1],[0.0305,0.5],[0.0345,2.0],[0.067,8.8]]",0.1,0.025,28.1,0.0225,0.0,"[[0.0225,28.1],[0.0215,8.0],[0.017,2.0],[0.0021,8.8],[0.002,9.6],[0.0012,1.5],[0.001,2.5],[0.0008,0.5],[0.0002,5.0]]",129837602171,85962.47,-0.98254,5e-05,-0.20408,-20.53335,0.5695,85962.47,BTC-1DEC25-88000-P,0.0,0.028,72.11,0.0238,0.0665,0.0001,560.7,0.00040114,open,0.028,0.0001,5500.0,200.6,134430.58,1764568544983,2025-12-01T05:55:44.983000+00:00,SYN.BTC-1DEC25,85962.6854,False,231,1764568545977714,1764568545977945
2025-12-01T05:55:45.848000+00:00,1764568545848,BTC,0.0003,25,0.0001,1.0,USD,1764230412000,2025-11-27T08:00:12+00:00,1764576000000,2025-12-01T08:00:00+00:00,556132,BTC-1DEC25-89000-C,reversed,True,option,0.0003,0.1,call,btc_usd,BTC,BTC,day,89000.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",BTC,1DEC25,BTC-1DEC25-89000-C,C,89000.0,2.0,106.33,"[[0.0001,13.0],[0.0002,24.9],[0.0003,33.9],[0.0004,82.1],[0.0006,0.1],[0.0017,9.0],[0.0023,2.0],[0.0025,2.0],[0.0027,2.0],[0.0065,0.5],[0.01,0.1]]",13.0,0.0001,0.0,0.0,0.0,[],129837482768,85962.46,0.0012,0.0,0.00024,-0.32855,0.05243,85962.46,BTC-1DEC25-89000-C,0.0,0.0001,74.31,0.0,0.017,0.0001,162.5,0.02288658,open,0.017,0.0001,-99.4118,165.6,17207.42,1764568545984,2025-12-01T05:55:45.984000+00:00,SYN.BTC-1DEC25,85962.6754,False,440,1764568545994916,1764568545995356
2025-12-01T05:55:46.058000+00:00,1764568546058,BTC,0.0003,25,0.0001,1.0,USD,1764230412000,2025-11-27T08:00:12+00:00,1764576000000,2025-12-01T08:00:00+00:00,556133,BTC-1DEC25-89000-P,reversed,True,option,0.0003,0.1,put,btc_usd,BTC,BTC,day,89000.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",BTC,1DEC25,BTC-1DEC25-89000-P,P,89000.0,2.0,171.24,"[[0.0365,0.1],[0.037,28.0],[0.0465,2.0]]",0.1,0.0365,28.1,0.034,0.0,"[[0.034,28.1],[0.0335,8.0],[0.0265,2.0],[0.0049,2.0],[0.0043,3.0],[0.002,0.8],[0.001,3.0],[0.0006,3.0],[0.0002,5.0],[0.0001,1.3]]",129837602559,85962.46,-0.9988,0.0,-0.20973,-1.94806,0.05243,85962.46,BTC-1DEC25-89000-P,0.0,0.038,74.31,0.0353,0.0785,0.0001,161.9,0.00089125,open,0.038,0.0003,4122.2222,142.5,75162.53,1764568545984,2025-12-01T05:55:45.984000+00:00,SYN.BTC-1DEC25,85962.6754,False,269,1764568546206508,1764568546206777
2025-12-01T05:55:46.064000+00:00,1764568546064,BTC,0.0003,25,0.0001,1.0,USD,1764230412000,2025-11-27T08:00:12+00:00,1764576000000,2025-12-01T08:00:00+00:00,556134,BTC-1DEC25-90000-C,reversed,True,option,0.0003,0.1,call,btc_usd,BTC,BTC,day,90000.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",BTC,1DEC25,BTC-1DEC25-90000-C,C,90000.0,2.0,135.04,"[[0.0001,13.0],[0.0002,34.0],[0.0003,25.2],[0.0005,83.8],[0.0018,9.0],[0.0024,0.1],[0.005,0.7],[0.0225,0.2]]",13.0,0.0001,0.0,0.0,0.0,[],129837482790,85962.46,3e-05,0.0,1e-05,-0.0068,0.00172,85962.46,BTC-1DEC25-90000-C,0.0,0.0001,74.47,0.0,0.015,0.0001,83.0,0.01334738,open,0.019,0.0001,-99.4444,98.4,18977.33,1764568545984,2025-12-01T05:55:45.984000+00:00,SYN.BTC-1DEC25,85962.6754,False,256,1764568546207630,1764568546207886
2025-12-01T05:55:46.070000+00:00,1764568546070,BTC,0.0003,25,0.0001,1.0,USD,1764230412000,2025-11-27T08:00:12+00:00,1764576000000,2025-12-01T08:00:00+00:00,556135,BTC-1DEC25-90000-P,reversed,True,option,0.0003,0.1,put,btc_usd,BTC,BTC,day,90000.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",BTC,1DEC25,BTC-1DEC25-90000-P,P,90000.0,2.0,204.76,"[[0.048,0.1],[0.0485,28.0],[0.058,2.0]]",0.1,0.048,0.1,0.046,0.0,"[[0.046,0.1],[0.0455,28.1],[0.0445,8.0],[0.0335,2.0],[0.0022,0.5],[0.002,0.8],[0.0007,6.0],[0.0001,1.3]]",129837612378,85962.46,-0.99997,0.0,-0.21232,-0.06407,0.00172,85962.46,BTC-1DEC25-90000-P,0.0,0.047,74.47,0.047,0.0905,0.007,95.1,0.00234087,open,0.047,0.001,1466.6667,127.2,69934.34,1764568545984,2025-12-01T05:55:45.984000+00:00,SYN.BTC-1DEC25,85962.6754,False,240,1764568546218037,1764568546218277
2025-12-01T05:55:46.093000+00:00,1764568546093,BTC,0.0003,25,0.0001,1.0,USD,1764230412000,2025-11-27T08:00:12+00:00,1764576000000,2025-12-01T08:00:00+00:00,556136,BTC-1DEC25-91000-C,reversed,True,option,0.0003,0.1,call,btc_usd,BTC,BTC,day,91000.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",BTC,1DEC25,BTC-1DEC25-91000-C,C,91000.0,2.0,162.66,"[[0.0001,1.0],[0.0002,36.6],[0.0003,23.9],[0.0004,84.0],[0.0005,9.1],[0.0019,3.0],[0.002,0.7],[0.018,0.1],[0.02,0.1]]",1.0,0.0001,0.0,0.0,0.0,[],129837538596,85962.46,0.0,0.0,0.0,-6e-05,2e-05,85962.46,BTC-1DEC25-91000-C,0.0,0.0001,74.57,0.0,0.015,0.0001,218.9,0.00578383,open,0.013,0.0001,-98.3333,251.7,158623.5,1764568545984,2025-12-01T05:55:45.984000+00:00,SYN.BTC-1DEC25,85962.6754,False,210,1764568546238166,1764568546238376
2025-12-01T05:55:46.119000+00:00,1764568546119,BTC,0.0003,25,0.0001,1.0,USD,1764230412000,2025-11-27T08:00:12+00:00,1764576000000,2025-12-01T08:00:00+00:00,556137,BTC-1DEC25-91000-P,reversed,True,option,0.0003,0.1,put,btc_usd,BTC,BTC,day,91000.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",BTC,1DEC25,BTC-1DEC25-91000-P,P,91000.0,2.0,259.06,"[[0.06,28.2],[0.07,2.0]]",28.2,0.06,28.1,0.0575,0.0,"[[0.0575,28.1],[0.057,8.0],[0.0475,2.0],[0.021,0.1],[0.002,0.8],[0.0012,1.0],[0.0001,1.0]]",129837609441,85962.46,-1.0,0.0,-0.21469,-0.00087,2e-05,85962.46,BTC-1DEC25-91000-P,0.0,0.06,74.57,0.0586,0.1025,0.018,256.1,0.00576614,open,0.06,0.003,823.0769,285.8,193660.09,1764568545984,2025-12-01T05:55:45.984000+00:00,SYN.BTC-1DEC25,85962.6754,False,311,1764568546271402,1764568546271713
