fetch_ts_datetime,fetch_ts_ms,meta.instrument.base_currency,meta.instrument.block_trade_commission,meta.instrument.block_trade_min_trade_amount,meta.instrument.block_trade_tick_size,meta.instrument.contract_size,meta.instrument.counter_currency,meta.instrument.creation_timestamp,meta.instrument.creation_timestamp_datetime,meta.instrument.expiration_timestamp,meta.instrument.expiration_timestamp_datetime,meta.instrument.instrument_id,meta.instrument.instrument_name,meta.instrument.instrument_type,meta.instrument.is_active,meta.instrument.kind,meta.instrument.maker_commission,meta.instrument.min_trade_amount,meta.instrument.option_type,meta.instrument.price_index,meta.instrument.quote_currency,meta.instrument.settlement_currency,meta.instrument.settlement_period,meta.instrument.strike,meta.instrument.taker_commission,meta.instrument.tick_size,meta.instrument.tick_size_steps,parsed.base_currency,parsed.expiry_code,parsed.instrument_name,parsed.option_type,parsed.strike,rpc.jsonrpc,rpc.result.ask_iv,rpc.result.asks,rpc.result.best_ask_amount,rpc.result.best_ask_price,rpc.result.best_bid_amount,rpc.result.best_bid_price,rpc.result.bid_iv,rpc.result.bids,rpc.result.change_id,rpc.result.estimated_delivery_price,rpc.result.greeks.delta,rpc.result.greeks.gamma,rpc.result.greeks.rho,rpc.result.greeks.theta,rpc.result.greeks.vega,rpc.result.index_price,rpc.result.instrument_name,rpc.result.interest_rate,rpc.result.last_price,rpc.result.mark_iv,rpc.result.mark_price,rpc.result.max_price,rpc.result.min_price,rpc.result.open_interest,rpc.result.settlement_price,rpc.result.state,rpc.result.stats.high,rpc.result.stats.low,rpc.result.stats.price_change,rpc.result.stats.volume,rpc.result.stats.volume_usd,rpc.result.timestamp,rpc.result.timestamp_datetime,rpc.result.underlying_index,rpc.result.underlying_price,rpc.testnet,rpc.usDiff,rpc.usIn,rpc.usOut
2025-12-01T05:56:27.933000+00:00,1764568587933,ETH,0.0003,250,0.0001,1.0,USD,1764230412000,2025-11-27T08:00:12+00:00,1764576000000,2025-12-01T08:00:00+00:00,556161,ETH-1DEC25-3000-P,reversed,True,option,0.0003,1,put,eth_usd,ETH,ETH,day,3000.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",ETH,1DEC25,ETH-1DEC25-3000-P,P,3000.0,2.0,297.18,"[[0.063,701.0]]",701.0,0.063,701.0,0.0585,0.0,"[[0.0585,701.0],[0.057,100.0],[0.018,1.0],[0.002,4.0]]",99513728824,2827.96,-0.99978,2e-05,-0.00708,-0.01991,0.00036,2827.96,ETH-1DEC25-3000-P,0.0,0.062,109.24,0.0608,0.111,0.0155,1544.0,0.008013,open,0.065,0.0026,463.6364,1764.0,38285.68,1764568587404,2025-12-01T05:56:27.404000+00:00,SYN.ETH-1DEC25,2827.9716,False,232,1764568588079788,1764568588080020
2025-12-01T05:56:27.940000+00:00,1764568587940,ETH,0.0003,250,0.0001,1.0,USD,1764230412000,2025-11-27T08:00:12+00:00,1764576000000,2025-12-01T08:00:00+00:00,556162,ETH-1DEC25-3025-C,reversed,True,option,0.0003,1,call,eth_usd,ETH,ETH,day,3025.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",ETH,1DEC25,ETH-1DEC25-3025-C,C,3025.0,2.0,188.14,"[[0.0001,43.0],[0.0002,706.0],[0.0003,600.0],[0.0004,6.0],[0.0008,2094.0],[0.0015,2.0]]",43.0,0.0001,0.0,0.0,0.0,[],99513717378,2827.96,3e-05,0.0,0.0,-0.00033,6e-05,2827.96,ETH-1DEC25-3025-C,0.0,0.0001,109.33,0.0,0.015,0.0001,1197.0,0.005966,open,0.0125,0.0001,-98.0,829.0,13642.06,1764568587404,2025-12-01T05:56:27.404000+00:00,SYN.ETH-1DEC25,2827.9716,False,271,1764568588081396,1764568588081667
2025-12-01T05:56:27.942000+00:00,1764568587942,ETH,0.0003,250,0.0001,1.0,USD,1764230412000,2025-11-27T08:00:12+00:00,1764576000000,2025-12-01T08:00:00+00:00,556163,ETH-1DEC25-3025-P,reversed,True,option,0.0003,1,put,eth_usd,ETH,ETH,day,3025.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",ETH,1DEC25,ETH-1DEC25-3025-P,P,3025.0,2.0,333.21,"[[0.072,701.0],[0.075,1.0]]",701.0,0.072,701.0,0.0675,0.0,"[[0.0675,701.0],[0.066,100.0],[0.0021,12.0],[0.002,4.0]]",99513728844,2827.96,-0.99997,0.0,-0.00714,-0.00315,6e-05,2827.96,ETH-1DEC25-3025-P,0.0,0.013,109.33,0.0697,0.1205,0.024,507.0,0.012282,open,0.013,0.005,4.0,144.0,3292.83,1764568587404,2025-12-01T05:56:27.404000+00:00,SYN.ETH-1DEC25,2827.9716,False,263,1764568588085082,1764568588085345
2025-12-01T05:56:27.953000+00:00,1764568587953,ETH,0.0003,250,0.0001,1.0,USD,1764230412000,2025-11-27T08:00:12+00:00,1764576000000,2025-12-01T08:00:00+00:00,556164,ETH-1DEC25-3050-C,reversed,True,option,0.0003,1,call,eth_usd,ETH,ETH,day,3050.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",ETH,1DEC25,ETH-1DEC25-3050-C,C,3050.0,2.0,208.0,"[[0.0001,18.0],[0.0002,712.0],[0.0003,600.0],[0.0006,2100.0],[0.0014,92.0]]",18.0,0.0001,0.0,0.0,0.0,[],99513726983,2827.96,0.0,0.0,0.0,-4e-05,1e-05,2827.96,ETH-1DEC25-3050-C,0.0,0.0001,109.89,0.0,0.015,0.0001,2069.0,0.003386,open,0.009,0.0001,-95.6522,2164.0,43729.09,1764568587404,2025-12-01T05:56:27.404000+00:00,SYN.ETH-1DEC25,2827.9716,False,460,1764568588097267,1764568588097727
2025-12-01T05:56:28.187000+00:00,1764568588187,ETH,0.0003,250,0.0001,1.0,USD,1764230412000,2025-11-27T08:00:12+00:00,1764576000000,2025-12-01T08:00:00+00:00,556165,ETH-1DEC25-3050-P,reversed,True,option,0.0003,1,put,eth_usd,ETH,ETH,day,3050.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",ETH,1DEC25,ETH-1DEC25-3050-P,P,3050.0,2.0,368.8,"[[0.081,701.0]]",701.0,0.081,701.0,0.076,0.0,"[[0.076,701.0],[0.0021,12.0],[0.002,4.0]]",99513642575,2827.96,-1.0,0.0,-0.0072,-0.00044,1e-05,2827.96,ETH-1DEC25-3050-P,0.0,0.084,109.89,0.0785,0.1295,0.0325,142.0,0.018019,open,0.084,0.008,888.2353,28.0,2108.61,1764568587404,2025-12-01T05:56:27.404000+00:00,SYN.ETH-1DEC25,2827.9716,False,225,1764568588331600,1764568588331825
2025-12-01T05:56:28.203000+00:00,1764568588203,ETH,0.0003,250,0.0001,1.0,USD,1764230412000,2025-11-27T08:00:12+00:00,1764576000000,2025-12-01T08:00:00+00:00,556167,ETH-1DEC25-3075-P,reversed,True,option,0.0003,1,put,eth_usd,ETH,ETH,day,3075.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",ETH,1DEC25,ETH-1DEC25-3075-P,P,3075.0,2.0,383.59,"[[0.0895,701.0]]",701.0,0.0895,701.0,0.085,0.0,"[[0.085,701.0],[0.0021,12.0],[0.002,4.0]]",99513622757,2827.96,-1.0,0.0,-0.00725,-4e-05,0.0,2827.96,ETH-1DEC25-3075-P,0.0,0.0165,109.9,0.0874,0.1385,0.041,350.0,0.024723,open,0.0165,0.0165,0.0,10.0,500.91,1764568587404,2025-12-01T05:56:27.404000+00:00,SYN.ETH-1DEC25,2827.9716,False,337,1764568588343487,1764568588343824
2025-12-01T05:56:28.198000+00:00,1764568588198,ETH,0.0003,250,0.0001,1.0,USD,1764230412000,2025-11-27T08:00:12+00:00,1764576000000,2025-12-01T08:00:00+00:00,556166,ETH-1DEC25-3075-C,reversed,True,option,0.0003,1,call,eth_usd,ETH,ETH,day,3075.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",ETH,1DEC25,ETH-1DEC25-3075-C,C,3075.0,2.0,248.88,"[[0.0002,712.0],[0.0003,600.0],[0.0008,1801.0],[0.0115,15.0]]",712.0,0.0002,0.0,0.0,0.0,[],99513531684,2827.96,0.0,0.0,0.0,0.0,0.0,2827.96,ETH-1DEC25-3075-C,0.0,0.0001,109.9,0.0,0.015,0.0001,1996.0,0.001773,open,0.0055,0.0001,-91.6667,922.0,8047.19,1764568587404,2025-12-01T05:56:27.404000+00:00,SYN.ETH-1DEC25,2827.9716,False,251,1764568588342392,1764568588342643
2025-12-01T05:56:28.212000+00:00,1764568588212,ETH,0.0003,250,0.0001,1.0,USD,1764230412000,2025-11-27T08:00:12+00:00,1764576000000,2025-12-01T08:00:00+00:00,556169,ETH-1DEC25-3100-P,reversed,True,option,0.0003,1,put,eth_usd,ETH,ETH,day,3100.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",ETH,1DEC25,ETH-1DEC25-3100-P,P,3100.0,2.0,0.0,[],0.0,0.0,12.0,0.0021,0.0,"[[0.0021,12.0],[0.002,4.0]]",99512938127,2827.96,-1.0,0.0,-0.00731,0.0,0.0,2827.96,ETH-1DEC25-3100-P,0.0,0.026,109.9,0.0962,0.1475,0.0495,2.0,0.032211,open,,,,0.0,0.0,1764568587404,2025-12-01T05:56:27.404000+00:00,SYN.ETH-1DEC25,2827.9716,False,273,1764568588356371,1764568588356644
2025-12-01T05:56:28.204000+00:00,1764568588204,ETH,0.0003,250,0.0001,1.0,USD,1764230412000,2025-11-27T08:00:12+00:00,1764576000000,2025-12-01T08:00:00+00:00,556168,ETH-1DEC25-3100-C,reversed,True,option,0.0003,1,call,eth_usd,ETH,ETH,day,3100.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",ETH,1DEC25,ETH-1DEC25-3100-C,C,3100.0,2.0,269.36,"[[0.0002,712.0],[0.0003,600.0],[0.0007,1803.0],[0.01,2.0]]",712.0,0.0002,0.0,0.0,0.0,[],99513531685,2827.96,0.0,0.0,0.0,0.0,0.0,2827.96,ETH-1DEC25-3100-C,0.0,0.0001,109.9,0.0,0.015,0.0001,1472.0,0.000945,open,0.0031,0.0001,-83.3333,1218.0,7914.42,1764568587404,2025-12-01T05:56:27.404000+00:00,SYN.ETH-1DEC25,2827.9716,False,201,1764568588352251,1764568588352452
2025-12-01T05:56:28.458000+00:00,1764568588458,ETH,0.0003,250,0.0001,1.0,USD,1764230412000,2025-11-27T08:00:12+00:00,1764576000000,2025-12-01T08:00:00+00:00,556171,ETH-1DEC25-3150-P,reversed,True,option,0.0003,1,put,eth_usd,ETH,ETH,day,3150.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",ETH,1DEC25,ETH-1DEC25-3150-P,P,3150.0,2.0,0.0,[],0.0,0.0,0.0,0.0,0.0,[],99512957353,2827.96,-1.0,0.0,-0.00743,0.0,0.0,2827.96,ETH-1DEC25-3150-P,0.0,,109.9,0.1139,0.166,0.066,0.0,0.048258,open,,,,0.0,0.0,1764568588405,2025-12-01T05:56:28.405000+00:00,SYN.ETH-1DEC25,2827.9715,False,224,1764568588599872,1764568588600096
