timestamp,hyperliquid_funding_rate,lighter_funding_rate
2025-11-21 07:30:06.592625,3.012e-05,1.2e-05
2025-11-21 07:31:06.592922,3.012e-05,1.2e-05
2025-11-21 07:32:06.593188,3.012e-05,1.2e-05
2025-11-21 07:33:06.593451,3.012e-05,1.2e-05
2025-11-21 07:34:06.593701,3.012e-05,1.2e-05
2025-11-21 07:35:06.593956,3.012e-05,1.2e-05
2025-11-21 07:36:06.594214,3.012e-05,1.2e-05
2025-11-21 07:37:06.594447,3.012e-05,1.2e-05
2025-11-21 07:38:06.594624,3.012e-05,1.2e-05
2025-11-21 07:39:06.594813,3.012e-05,1.2e-05
2025-11-21 07:40:06.594987,3.012e-05,1.2e-05
2025-11-21 07:41:06.595316,3.012e-05,1.2e-05
2025-11-21 07:42:06.595530,3.012e-05,1.2e-05
2025-11-21 07:43:06.595710,3.012e-05,1.2e-05
2025-11-21 07:44:06.595952,3.012e-05,1.2e-05
2025-11-21 07:45:06.596207,3.012e-05,1.2e-05
2025-11-21 07:46:06.596440,3.012e-05,1.2e-05
2025-11-21 07:47:06.596629,3.012e-05,1.2e-05
2025-11-21 07:48:06.596870,3.012e-05,1.2e-05
2025-11-21 07:49:06.597071,3.012e-05,1.2e-05
2025-11-21 07:50:06.597255,3.012e-05,1.2e-05
2025-11-21 07:51:06.597493,3.012e-05,1.2e-05
2025-11-21 07:52:06.597736,3.012e-05,1.2e-05
2025-11-21 07:53:06.597938,3.012e-05,1.2e-05
2025-11-21 07:54:06.598187,1.77832e-05,1.2e-05
2025-11-21 07:55:06.598399,1.77832e-05,1.2e-05
2025-11-21 07:56:06.598652,1.77832e-05,1.2e-05
2025-11-21 07:57:06.598859,1.77832e-05,1.2e-05
2025-11-21 07:58:06.599031,1.77832e-05,1.2e-05
2025-11-21 07:59:06.599251,1.77832e-05,1.2e-05
2025-11-21 08:00:06.599488,1.77832e-05,1.2e-05
2025-11-21 08:01:06.599655,1.77832e-05,1.2e-05
2025-11-21 08:02:06.599915,1.77832e-05,1.2e-05
2025-11-21 08:03:06.600171,1.77832e-05,1.2e-05
2025-11-21 08:04:06.600389,1.77832e-05,1.2e-05
2025-11-21 08:05:06.600569,1.77832e-05,1.2e-05
2025-11-21 08:06:06.600762,1.77832e-05,1.2e-05
2025-11-21 08:07:06.600973,1.77832e-05,1.2e-05
2025-11-21 08:08:06.601191,1.77832e-05,1.2e-05
2025-11-21 08:09:06.601429,1.77832e-05,1.2e-05
2025-11-21 08:10:06.601629,1.77832e-05,1.2e-05
2025-11-21 08:11:06.601888,1.77832e-05,1.2e-05
2025-11-21 08:12:06.602117,1.77832e-05,1.2e-05
2025-11-21 08:13:06.602458,1.77832e-05,1.2e-05
2025-11-21 08:14:06.602646,1.77832e-05,1.2e-05
2025-11-21 08:15:06.602812,1.77832e-05,1.2e-05
2025-11-21 08:16:06.603050,1.77832e-05,1.2e-05
2025-11-21 08:17:06.603281,1.77832e-05,1.2e-05
2025-11-21 08:18:06.603521,1.77832e-05,1.2e-05
2025-11-21 08:19:06.603693,1.77832e-05,1.2e-05
2025-11-21 08:20:06.603859,1.77832e-05,1.2e-05
2025-11-21 08:21:06.604041,1.77832e-05,1.2e-05
